Costo_aleatorio_inicial,Costo_optimo_local
35527.8,17925.8
32124.8,17844.9
31001.6,16682.9
34868.6,13072.9
35620.0,14870.7
29725.7,16149.0
34939.5,19755.7
33745.6,20239.2
35656.5,16941.6
30477.3,17057.7
28634.2,14354.4
32935.8,14516.4
32769.9,17478.2
30234.7,15577.0
30677.4,13031.4
26064.3,16872.7
36076.6,19560.7
29917.5,13031.4
33261.5,20270.7
34741.6,17326.0
34625.8,19632.1
35039.9,15408.8
24565.0,17775.6
27562.6,19314.9
27090.2,13699.1
30767.0,15577.0
34417.3,16683.5
34043.7,18436.9
36011.8,18286.4
27407.4,15426.8
27540.8,19620.8
30081.9,21025.7
33541.7,22114.0
30624.5,13979.1
34204.4,16182.5
27384.0,15362.7
35182.7,20018.8
38472.0,18598.6
33809.2,15530.6
33309.6,17997.1
35927.8,20659.8
30291.9,17789.5
27895.1,18804.8
30817.6,18933.6
31803.8,17823.6
34990.5,19575.6
30393.5,17819.7
29354.9,13783.8
27341.9,18870.6
28758.4,18968.1
32808.2,19146.4
31478.6,15965.6
33126.4,15917.8
33299.2,18815.8
25586.2,16479.9
31154.4,17678.2
35244.1,17025.4
33141.0,20238.6
33871.8,14646.8
29520.8,14516.4
30142.1,15199.9
32131.2,14314.3
33234.4,20393.1
35734.7,16982.4
34767.9,16834.2
30969.2,13359.6
36833.9,18382.5
32405.5,15408.8
33812.4,21809.4
30901.4,17572.4
27599.1,16946.5
32762.2,16833.5
29383.7,14451.5
29515.3,17593.6
25065.6,14915.1
31777.0,18527.9
34158.4,17789.4
28390.3,18100.8
34185.6,18061.9
31003.9,13031.4
32892.2,17493.5
34880.7,17957.4
31132.7,17054.9
31623.8,18259.3
33663.5,18449.7
30428.9,13359.6
28978.0,19958.6
36584.3,15046.1
30036.0,16339.0
29648.2,16639.2
31609.8,19415.2
28502.9,16639.2
30958.7,13846.1
32747.5,21247.3
28443.4,18479.8
32050.7,15950.8
30283.5,18106.6
27017.0,13031.4
28457.7,18955.1
27802.2,20754.9
31890.9,19594.0
30704.5,16817.3
33641.0,18095.7
32105.2,20930.2
30305.9,15098.2
31761.7,16339.0
33798.1,19386.1
30159.0,13031.4
29319.1,13072.9
31880.2,14942.6
32775.9,16654.0
33282.3,19969.1
35114.1,15679.9
35433.8,18176.1
24431.5,17566.5
31673.6,18984.2
33419.9,17760.1
27857.3,16961.1
34612.8,18004.9
35625.9,19360.3
30385.3,18014.5
30947.5,15882.4
28825.5,17478.4
30666.4,13031.4
31694.7,18409.4
31094.6,20079.6
29772.2,19434.6
29853.3,19413.3
29446.1,19335.6
24970.4,19869.3
32282.9,16560.0
29560.5,13031.4
31764.9,19402.3
36084.8,13498.1
27554.7,15482.6
28275.4,18078.9
26091.4,17689.9
27219.1,16548.9
35530.7,18250.8
35232.5,18288.0
32729.7,17147.5
33457.5,17223.2
35661.5,16720.4
28688.2,17071.0
31117.8,15736.5
30703.9,19434.2
27579.4,16586.5
31662.8,18812.1
30392.6,18834.7
29603.3,17798.4
30317.6,13072.9
31825.8,17447.4
30156.8,13498.1
29573.8,18940.2
31882.0,13846.1
33960.0,17424.3
30786.5,14616.8
30504.4,19698.4
28928.5,18667.6
29423.2,13031.4
30822.2,19522.9
30637.0,13072.9
27279.4,16311.1
25935.4,21169.1
33706.9,19771.4
32845.8,19055.1
28872.7,17024.9
36700.6,13031.4
26691.2,18186.8
33702.7,16969.6
31672.3,14451.5
33688.5,18632.6
31412.2,18003.7
